canon39_regen_store/op_units2_cpp_c0134.json: 65 with proved terms, 0 rendered, 12 skipped
canon39_regen_store/op_units2_cpp_c0135.json: 99 with proved terms, 0 rendered, 16 skipped
canon39_regen_store/op_units2_cpp_c0136.json: 89 with proved terms, 0 rendered, 16 skipped
canon39_regen_store/op_units2_cpp_c0137.json: 19 with proved terms, 0 rendered, 31 skipped
canon39_regen_store/op_units2_cpp_c0138.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0139.json: 26 with proved terms, 0 rendered, 30 skipped
canon39_regen_store/op_units2_cpp_c0140.json: 150 with proved terms, 1 rendered, 12 skipped
canon39_regen_store/op_units2_cpp_c0141.json: 136 with proved terms, 0 rendered, 10 skipped
canon39_regen_store/op_units2_cpp_c0142.json: 104 with proved terms, 0 rendered, 9 skipped
canon39_regen_store/op_units2_cpp_c0143.json: 130 with proved terms, 0 rendered, 10 skipped
canon39_regen_store/op_units2_cpp_c0144.json: 104 with proved terms, 0 rendered, 7 skipped
canon39_regen_store/op_units2_cpp_c0145.json: 26 with proved terms, 0 rendered, 30 skipped
canon39_regen_store/op_units2_cpp_c0146.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0147.json: 26 with proved terms, 0 rendered, 30 skipped
canon39_regen_store/op_units2_cpp_c0148.json: 180 with proved terms, 1 rendered, 14 skipped
canon39_regen_store/op_units2_cpp_c0149.json: 106 with proved terms, 0 rendered, 9 skipped
canon39_regen_store/op_units2_cpp_c0150.json: 130 with proved terms, 0 rendered, 10 skipped
canon39_regen_store/op_units2_cpp_c0151.json: 131 with proved terms, 0 rendered, 11 skipped
canon39_regen_store/op_units2_cpp_c0152.json: 86 with proved terms, 0 rendered, 6 skipped
canon39_regen_store/op_units2_cpp_c0153.json: 17 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0154.json: 27 with proved terms, 10 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0155.json: 171 with proved terms, 98 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0156.json: 116 with proved terms, 60 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0157.json: 104 with proved terms, 56 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0158.json: 66 with proved terms, 36 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0159.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0160.json: 118 with proved terms, 64 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0161.json: 124 with proved terms, 66 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0162.json: 119 with proved terms, 64 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0163.json: 101 with proved terms, 52 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0164.json: 22 with proved terms, 14 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0165.json: 22 with proved terms, 15 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0166.json: 176 with proved terms, 146 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0167.json: 110 with proved terms, 72 rendered, 0 skipped
